키움 REST API,,,,,,
No.,API ID,API 명,대분류,중분류,URL,바로가기
1,au10001,접근토큰 발급,OAuth 인증,접근토큰발급,/oauth2/token,이동
2,au10002,접근토큰폐기,OAuth 인증,접근토큰폐기,/oauth2/revoke,이동
3,ka00198,실시간종목조회순위,국내주식,종목정보,/api/dostk/stkinfo,이동
4,ka01690,일별잔고수익률,국내주식,계좌,/api/dostk/acnt,이동
5,ka10001,주식기본정보요청,국내주식,종목정보,/api/dostk/stkinfo,이동
6,ka10002,주식거래원요청,국내주식,종목정보,/api/dostk/stkinfo,이동
7,ka10003,체결정보요청,국내주식,종목정보,/api/dostk/stkinfo,이동
8,ka10004,주식호가요청,국내주식,시세,/api/dostk/mrkcond,이동
9,ka10005,주식일주월시분요청,국내주식,시세,/api/dostk/mrkcond,이동
10,ka10006,주식시분요청,국내주식,시세,/api/dostk/mrkcond,이동
11,ka10007,시세표성정보요청,국내주식,시세,/api/dostk/mrkcond,이동
12,ka10008,주식외국인종목별매매동향,국내주식,기관/외국인,/api/dostk/frgnistt,이동
13,ka10009,주식기관요청,국내주식,기관/외국인,/api/dostk/frgnistt,이동
14,ka10010,업종프로그램요청,국내주식,업종,/api/dostk/sect,이동
15,ka10011,신주인수권전체시세요청,국내주식,시세,/api/dostk/mrkcond,이동
16,ka10013,신용매매동향요청,국내주식,종목정보,/api/dostk/stkinfo,이동
17,ka10014,공매도추이요청,국내주식,공매도,/api/dostk/shsa,이동
18,ka10015,일별거래상세요청,국내주식,종목정보,/api/dostk/stkinfo,이동
19,ka10016,신고저가요청,국내주식,종목정보,/api/dostk/stkinfo,이동
20,ka10017,상하한가요청,국내주식,종목정보,/api/dostk/stkinfo,이동
21,ka10018,고저가근접요청,국내주식,종목정보,/api/dostk/stkinfo,이동
22,ka10019,가격급등락요청,국내주식,종목정보,/api/dostk/stkinfo,이동
23,ka10020,호가잔량상위요청,국내주식,순위정보,/api/dostk/rkinfo,이동
24,ka10021,호가잔량급증요청,국내주식,순위정보,/api/dostk/rkinfo,이동
25,ka10022,잔량율급증요청,국내주식,순위정보,/api/dostk/rkinfo,이동
26,ka10023,거래량급증요청,국내주식,순위정보,/api/dostk/rkinfo,이동
27,ka10024,거래량갱신요청,국내주식,종목정보,/api/dostk/stkinfo,이동
28,ka10025,매물대집중요청,국내주식,종목정보,/api/dostk/stkinfo,이동
29,ka10026,고저PER요청,국내주식,종목정보,/api/dostk/stkinfo,이동
